txt,rating,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise
fair room quality unfriendly staff make sure reservation traveling group team ,1,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.511840105056763,0.123578026890755,0.079379603266716,0.248546823859215,0.036655448377133
dreadful hotel embodiment downside priceline way ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.443679332733154,0.081779696047306,0.183387383818626,0.276386380195618,0.014767146669328
rude desk manager place ridiculous ,1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.873285233974457,0.00763528002426,0.005647569429129,0.062419798225165,0.051012147217989
wrong hotel looked room resrvied smeeled vomit ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.504188001155853,0.098539412021637,0.105166018009186,0.281506508588791,0.010600045323372
dump just horrible ,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.603981733322144,0.011189025826752,0.199877038598061,0.183163926005363,0.001788269495592
avoid costs ,1,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.715162694454193,0.01301152817905,0.019953353330493,0.248056009411812,0.003816352458671
n't waste money ,1,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.413110196590424,0.269140660762787,0.041798487305641,0.25256210565567,0.02338856831193
smells like sewer ,1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.61730694770813,0.028264120221138,0.129769518971443,0.215913221240044,0.008746158331633
not finished writing hotel not complete ,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.711866736412048,0.028753599151969,0.172105357050896,0.074293576180935,0.012980734929442
not understanding booked hotel inlaws weekend away ,1,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.274442374706268,0.016571220010519,0.195947542786598,0.509176731109619,0.003862106241286
hate sterling hotel dallas pictures website deceiving ,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.796595335006714,0.00386039307341,0.013790760189295,0.184788182377815,0.000965336570516
"not intercontinental standards company ran large meeting major client dallas intercontinental november 	associate visited hotel weeks earlier ensure needs handled 	satisfied booked meeting rooms.unfortunately experience meeting unsatisfactory 	food mediocre best served inexperienced banquet personnel 	times n't ordered 	basic norms business meetings refreshed coffee day n't properly days.we sent newly custom company polo shirts cleaning day meeting shirts company ceo lost despite fact entire lot 	managed having company shirt washed late night prior meeting day 	office manager offered pay replacement took nearly weeks event check follow calls.the meeting space needs not handled level professionalism care expected supposedly notch chain intercontinental 	materials shipped hotel week advance no arrival associate huge stink management confirming fed ex delivered promised boxes arrived time deeped sixed day unless screamed not access meeting materials 	no office cared needs stay spent fairly good dime days.some rooms renovated great improvement older rooms 	insist 	shortly meeting learned director sales quit..supposedly hotel standards low beneath european hotel guy fairness think big reason meeting planning disaster.this director sales offered 40,000 priority club pts make poor experience 	months later no points credited account no hotel substantiate offer 	thought consider 	lobby area bar permits smoking place attract lots smokers point lobby nearly time day make non smoker like instantly sick finding clothing stinking smoke minutes 	wait downstairs wait outside possible lobby.if considering hotel meeting north dallas area suggest avoid hotel purpose 	does n't deserve affiliation intercontinental chain generally experience runs maintains flight properties 	consider marriott quorum just block instead 	did follow meeting good experience 	 ",1,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.158276930451393,0.189616978168488,0.359296441078186,0.265806674957275,0.027003010734916
mediocre best not intercontinental material wow dissapointment ,1,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.451119303703308,0.073025360703468,0.029933361336589,0.325059413909912,0.120862528681755
confirmed reservation not honoured ruined day 2008 hotel booked night 15 2008 night boston prior return uk ,1,N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.219185352325439,0.15845388174057,0.150122299790382,0.454216569662094,0.018021959811449
boston park plaza avoid costs terrible experience ,1,NEU,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.67374587059021,0.048175282776356,0.090674333274365,0.178768217563629,0.008636326529086
not return park plaza extremely unhappy stay park plaza ,1,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.296458274126053,0.1527309268713,0.039344497025013,0.278685927391052,0.232780396938324
pass executive suite not worth money having planned seeing boston 50th birthday chose park plaza staying towers section extra service ,1,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.620712518692017,0.034224011003971,0.068572863936424,0.226594418287277,0.049896258860827
noisy uncomfortable horrible service staff gave incorrect directions venue lost city late wedding ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.546058058738709,0.063994489610195,0.065146386623383,0.318409383296967,0.006391638424248
really awful hotel based reviews inclusion conde nast traveller gold list shocked eliot hotel ,1,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.458005368709564,0.089679658412933,0.073407806456089,0.342883735895157,0.036023449152708
totally disappointing planned special trip boston celebrate sister birthday chose eliot hotel ,1,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.365633964538574,0.21109838783741,0.061331447213888,0.233667820692062,0.128268331289291
star nightmare ,1,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.457632035017014,0.032609857618809,0.0243199467659,0.476333826780319,0.009104323573411
walking shoes n't forget flip flops bathroom adam mark not standard hotels willing ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.513598501682282,0.14812146127224,0.081725470721722,0.225689202547073,0.030865350738168
bad bad bad experience pretty bad experience staying adam__Ç_é_ mark dallas week really bad experience ,1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.595627427101135,0.008480153046548,0.082404591143131,0.255744636058807,0.057743236422539
not luxury overpriced lousy service no extras reviewers absolutely right ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.58353316783905,0.019612178206444,0.026143126189709,0.326263964176178,0.044447559863329
not stay room north tower large beds dirty mattress covers ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.637896776199341,0.074638560414314,0.060156542807818,0.190828785300255,0.036479361355305
horrible tea gone awry partner 45th birthday planned incredible surprise booked 2 tickets round trip nyc lax ,1,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.185265570878983,0.311805844306946,0.098391637206078,0.176967933773994,0.227569058537483
bad place stayed hotel days 12of dec. 14of dec. 2008. hotel run room smelly dirty staff not helpfully all.eating breakfast hotel expencive hungry small portions ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.239732295274734,0.491756975650787,0.048598777502775,0.164253130555153,0.055658847093582
extremely rude ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.810971140861511,0.025355011224747,0.033017538487911,0.114711456000805,0.015944823622704
not stay going miami want place stay ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.903329968452454,0.001310007413849,0.007795732002705,0.082210086286068,0.005354180466384
n't ,1,N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.559118270874023,0.053281739354134,0.13252680003643,0.231627866625786,0.02344536036253
overpriced smelly noisy rude boyfriend stayed memorial day weekend hotel extremely overpriced ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.651865601539612,0.004515624605119,0.040920820087195,0.296827793121338,0.005870209075511
hated ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.857970416545868,0.008102764375508,0.040249671787024,0.081053711473942,0.012623471207917
hated hotel arrested talking loud arrived hotel dirty rooms not standards pictures promised ,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.589699506759644,0.01410567201674,0.045902233570814,0.344713360071182,0.005579248536378
disappointed just returned weekend getaway new orleans ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.209826126694679,0.119229912757874,0.100516729056835,0.500908553600311,0.069518730044365
ruined romantic weekend planned romantic weekend dauphine orleans hotel wife birthday ,1,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.494915246963501,0.097067773342133,0.043765433132649,0.225019425153732,0.139232128858566
streetcar noise ,1,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.548982858657837,0.060237169265747,0.072232693433762,0.254101604223251,0.064445704221726
just got 4 day stay definitely not recommned place ,1,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.617066144943237,0.023704294115305,0.028676103800535,0.328399121761322,0.002154311863706
say no jw marriot-new orleans stayed marriots top-notch service worst hotel experience ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.491592705249786,0.090637989342213,0.069778643548489,0.300863683223724,0.047127012163401
nasty ,1,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.470474898815155,0.122246772050858,0.100199058651924,0.25444084405899,0.052638411521912
poor customer relations 15th visit french quarter love food atmosphere quarter enjoyed visiting ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.525477945804596,0.074376203119755,0.107851624488831,0.275406658649445,0.016887601464987
n't fooled pictures 12 hour road trip friends ready shower hit french quarter ,1,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.369077622890472,0.08147931098938,0.225731372833252,0.30679315328598,0.016918506473303
not stay group colleagues reservations stay hotel ,1,P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.3058902323246,0.048367246985436,0.109037160873413,0.319908052682877,0.216797292232513
beware making reservations beware making reservation ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.418773144483566,0.091040939092636,0.093074642121792,0.379256576299667,0.017854647710919
horrible experience frenchman hotel july 5-6 2008. experience horrible ,1,N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.5304154753685,0.024363970384002,0.038869574666023,0.401772171258926,0.004578874446452
screwed reservation reserved april credit card confirmation ,1,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.386109828948975,0.120629161596298,0.279606580734253,0.191690176725388,0.021964250132442
terrible ,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.691426157951355,0.012623501010239,0.053193017840386,0.240251496434212,0.002505851211026
avoid plague ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.436243712902069,0.042049713432789,0.129531741142273,0.372622549533844,0.019552307203412
n't stay ,1,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.620310127735138,0.037747099995613,0.076483190059662,0.256372630596161,0.0090869423002
stay did not care hotel ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.491158723831177,0.015297826379538,0.051670666784048,0.431483030319214,0.010389748029411
dreadful ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.775814712047577,0.034593872725964,0.014239056035876,0.167972207069397,0.007380142807961
mislead website having perused internet pictures thought cartwright looked like charming rustic hotel nice location ,1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.52990049123764,0.054886940866709,0.111544415354729,0.289411425590515,0.014256708323956
worst hotel experience memory checking room 610 smelled strongly cigarette smoke fiancee allergic reaction did not sleep night ,1,N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.490037798881531,0.025621712207794,0.092257231473923,0.347125142812729,0.044958151876927
lost reservation staff not apologetic case hotel thinks cool worry customer service ,1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.354766309261322,0.047603711485863,0.054087091237307,0.355709493160248,0.187833324074745
ew ,1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.771967887878418,0.014951817691326,0.01780316233635,0.177036687731743,0.018240477889776
worst hotel experience ,1,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.630514264106751,0.01776010915637,0.034410662949085,0.273955732584,0.043359242379665
avoid clift hotel clift hotel worst place stayed san francisco ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.645632028579712,0.03827153518796,0.02939236164093,0.203899368643761,0.082804650068283
not return given room fan did not work bathroom ,1,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.745334625244141,0.010778369382024,0.021746799349785,0.21125066280365,0.010889554396272
not stay tiny rooms..bathrooms size closet wife asked not sit particular couch seating ,1,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.244325965642929,0.233290135860443,0.052877314388752,0.284862518310547,0.18464407324791
vvvv bad went hotel valantine day weekend ,1,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.346393793821335,0.042779833078384,0.025403443723917,0.557864665985107,0.027558337897062
avoid dump ,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.870973944664001,0.003921224735677,0.008880374021828,0.115080147981644,0.001144236768596
reservation not mean stay family reserved confirmed rooms ,1,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.514562666416168,0.086175225675106,0.111632890999317,0.278068155050278,0.009561067447066
not good hoped wife not happy hotel ,1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.604990720748901,0.027384746819735,0.061022840440273,0.23976257443428,0.066839158535004
bad far outweighs good ,1,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.423783034086227,0.058809503912926,0.114316552877426,0.363872766494751,0.03921814635396
unbelievable hotel supposed category truly unbelievable awaken construction 7 am.as previous reviewer posted outright dishonest not advise guests.i spent 459 night tiny room special wake-up increasinlgy indifferent service.i usually stayed omni regency.guess having business ,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.242345690727234,0.051300168037415,0.038687217980623,0.246085166931152,0.42158168554306
totally misleading ,1,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.265682995319366,0.012831390835345,0.177044838666916,0.49814048409462,0.046300269663334
flop-house skid row horrifying experience hotel life ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.352461457252502,0.040354736149311,0.099966995418072,0.494214355945587,0.013002424500883
horrible place did n't actually stay hotel booked directly hotel did say limited parking available ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.570588231086731,0.052268542349339,0.071543179452419,0.197353065013886,0.108246967196465
awful ,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.753814697265625,0.036767207086086,0.031682167202234,0.176656782627106,0.0010791788809
lawn mowers 5 a.m. given room golf course ,1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.490684270858765,0.139032736420631,0.043429303914309,0.315796792507172,0.011056856252253
kahala hawaiian word means overrated begin express disappoinment ,1,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.590924263000488,0.052266612648964,0.077072001993656,0.271345019340515,0.008392072282732
love old decor expensive price ,1,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.059779420495033,0.642816185951233,0.023225549608469,0.132600754499435,0.141578167676926
n't stay waikiki parc unless ,1,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.677870035171509,0.024992749094963,0.036782309412956,0.246689677238464,0.013665212318301
hated checked early ,1,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.792516708374023,0.045317981392145,0.031043918803334,0.121551603078842,0.009569823741913
kacho sushi restaurant waikiki parc introduced waikiki parc tripadvisor.com reviews fairly representative experience tonight better average accomodations street waikiki beach ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.448372155427933,0.119926646351814,0.062286645174027,0.279086500406265,0.090328007936478
look shabby large hotel absolutely no room service breakfast ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.177040576934814,0.255583047866821,0.167647287249565,0.307998120784759,0.091730929911137
not worth stayed lenox weekend trip boston ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.799921095371246,0.032723695039749,0.02650897204876,0.11790869385004,0.022937517613173
does n't pay reserve early booked room august requested corner room october ,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.4608353972435,0.059077851474285,0.05924041569233,0.387308388948441,0.033537909388542
terribly rude service ,1,N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.559418082237244,0.021596308797598,0.015488991513848,0.332709431648254,0.070787273347378
walked no reservations wed night ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.475158482789993,0.083910346031189,0.215255886316299,0.201676517724991,0.023998705670238
never-ending list problems visiting new orleans conference short vacation wife stayed embassy suites julia street offer excellent value ,1,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.555114984512329,0.074979431927204,0.189466789364815,0.160332858562469,0.020105894654989
steal money-beware ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.52957034111023,0.012168809771538,0.052968733012676,0.340781003236771,0.064511060714722
rudest staff seen ,1,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.388983100652695,0.022135077044368,0.088776186108589,0.45678585767746,0.043319791555405
worst stay ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.722891449928284,0.012863261625171,0.060421153903008,0.182057976722717,0.021766154095531
